,rr,week-canton,clasi_rr,clasi_rr_no_0
11539,0.0,2025-48-301,Bajo,Bajo
11540,0.0,2025-49-301,Bajo,Bajo
11541,0.1447423927294207,2025-50-301,Medio,Bajo
11542,0.0,2025-51-301,Bajo,Bajo
11543,0.0,2025-52-301,Bajo,Bajo
11544,0.0,2020-1-302,Bajo,Bajo
11545,0.0,2020-2-302,Bajo,Bajo
11546,0.0,2020-3-302,Bajo,Bajo
11547,0.0,2020-4-302,Bajo,Bajo
11548,0.0,2020-5-302,Bajo,Bajo
11549,0.5692772701168671,2020-6-302,Alto,Bajo
11550,0.0,2020-7-302,Bajo,Bajo
11551,0.0,2020-8-302,Bajo,Bajo
11552,0.0,2020-9-302,Bajo,Bajo
11553,0.0,2020-10-302,Bajo,Bajo
11554,0.0,2020-11-302,Bajo,Bajo
11555,0.0,2020-12-302,Bajo,Bajo
11556,0.0,2020-13-302,Bajo,Bajo
11557,0.0,2020-14-302,Bajo,Bajo
11558,0.0,2020-15-302,Bajo,Bajo
11559,0.0,2020-16-302,Bajo,Bajo
11560,0.5399897525108892,2020-17-302,Alto,Bajo
11561,0.0,2020-18-302,Bajo,Bajo
11562,0.3886280564243658,2020-19-302,Medio,Bajo
