"","week_canton","pob"
"459","2020-6-405",54570.9015300546
"460","2020-6-406",22824.9925628415
"461","2020-6-407",25887.560852459
"462","2020-6-408",21300.4920765027
"463","2020-6-409",30169.7092185792
"464","2020-6-410",87169.4135901639
"465","2020-6-501",76715.0628579235
"466","2020-6-502",57349.9814480874
"467","2020-6-503",68824.1127431694
"468","2020-6-504",24359.2043497268
"469","2020-6-505",46435.2314808743
"470","2020-6-506",31707.851420765
"471","2020-6-507",19911.4414808743
"472","2020-6-508",24590.3794808743
"473","2020-6-509",11483.466010929
"474","2020-6-510",26288.915557377
"475","2020-6-511",7102.02189071038
"476","2020-6-601",138175.891983607
"477","2020-6-602",33624.389273224
"478","2020-6-603",52828.9788469945
"479","2020-6-604",14607.5983333333
"480","2020-6-605",29567.7092677596
"481","2020-6-606",33263.4743934426
"482","2020-6-607",32049.4442786885
"483","2020-6-608",36385.0507923497
"484","2020-6-609",21008.1450273224
"485","2020-6-610",52093.6159180328
"486","2020-6-611",25768.2008087432
"487","2020-6-701",93330.8154535519
"488","2020-6-702",149717.031540984
"489","2020-6-703",56914.8111584699
"490","2020-6-704",43221.5645136612
"491","2020-6-705",44291.2640491803
"492","2020-6-706",55546.3047923497
"493","2020-7-101",348296.977795082
"494","2020-7-102",69544.9556967213
"495","2020-7-103",239506.32795082
"496","2020-7-104",38355.0601229508
"497","2020-7-105",17865.1264672131
"498","2020-7-106",61794.0194754098
"499","2020-7-107",28359.7446393443
"500","2020-7-108",137464.83754918
"501","2020-7-109",59639.9548934426
"502","2020-7-110",93220.6823196721
"503","2020-7-111",70020.5017868852
"504","2020-7-112",21740.7185081967
"505","2020-7-113",83885.5013442623
"506","2020-7-114",61195.2235327869
"507","2020-7-115",61384.9248114754
"508","2020-7-116",7152.56045081967
"509","2020-7-117",7766.76040983607
"510","2020-7-118",78236.503204918
"511","2020-7-119",135427.327991803
"512","2020-7-120",13156.5360901639
"513","2020-7-201",314925.432196721
"514","2020-7-202",89562.0261557377
"515","2020-7-203",78209.5080901639
"516","2020-7-204",7346.26768032787
"517","2020-7-205",29652.6212868852
"518","2020-7-206",48940.6787295082
"519","2020-7-207",41161.2065901639
"520","2020-7-208",34068.0756967213
"521","2020-7-209",24025.8576311475
"522","2020-7-210",201717.537680328
"523","2020-7-211",14461.890295082
"524","2020-7-212",22242.0156885246
"525","2020-7-213",54740.4409672131
"526","2020-7-214",34403.7610573771
"527","2020-7-215",19264.1429918033
"528","2020-7-216",16739.5477131148
"529","2020-7-301",161103.421188525
"530","2020-7-302",60638.2939426229
"531","2020-7-303",111550.615983607
"532","2020-7-304",15990.6042786885
"533","2020-7-305",70164.8840655738
"534","2020-7-306",15078.2121393443
"535","2020-7-307",48249.2986229508
"536","2020-7-308",44609.8162704918
"537","2020-7-401",141861.833213115
"538","2020-7-402",46680.9021721311
"539","2020-7-403",48779.7693770492
"540","2020-7-404",43224.144295082
"541","2020-7-405",54578.9428278689
"542","2020-7-406",22827.6410491803
"543","2020-7-407",25890.2037540984
"544","2020-7-408",21303.8490163934
"545","2020-7-409",30171.0764754098
"546","2020-7-410",87202.7669836066
"547","2020-7-501",76733.8560409836
"548","2020-7-502",57355.8615245902
"549","2020-7-503",68840.4080163934
"550","2020-7-504",24363.8678606557
