"","week_canton","ndvi"
"500","2020-7-207",0.534292310072327
"501","2020-7-208",0.694102276187991
"502","2020-7-216",0.848096596086853
"503","2020-7-210",0.827808027400205
"504","2020-7-204",0.713113691624358
"505","2020-7-202",0.538605443944051
"506","2020-7-212",0.866446388689951
"507","2020-7-213",0.722028245208468
"508","2020-7-211",0.785955834021479
"509","2020-7-306",0.739814759208492
"510","2020-7-301",0.788112068828733
"511","2020-7-308",0.867511448014913
"512","2020-7-304",0.722562232084613
"513","2020-7-303",0.493967548549663
"514","2020-7-307",0.798358621355123
"515","2020-7-302",0.832039743499993
"516","2020-7-305",0.774795525937376
"517","2020-7-507",0.564267278391128
"518","2020-7-504",0.485371130191531
"519","2020-7-506",0.482551969308691
"520","2020-7-505",0.381250700300687
"521","2020-7-511",0.580277149399985
"522","2020-7-510",0.778096361822544
"523","2020-7-501",0.331261118295951
"524","2020-7-509",0.728433076816377
"525","2020-7-502",0.589469056332989
"526","2020-7-503",0.550920602594438
"527","2020-7-508",0.828407395357254
"528","2020-7-402",0.773314436650541
"529","2020-7-407",0.378203059169086
"530","2020-7-408",0.389064996822272
"531","2020-7-401",0.84215874458129
"532","2020-7-406",0.730526668793768
"533","2020-7-409",0.291556618103159
"534","2020-7-405",0.771560010285321
"535","2020-7-404",0.810514442929666
"536","2020-7-403",0.606881553065906
"537","2020-7-410",0.830372806747748
"538","2020-7-706",0.853313357781253
"539","2020-7-701",0.720188843636263
"540","2020-7-705",0.561621550284748
"541","2020-7-702",0.77927729762502
"542","2020-7-703",0.889181627574171
"543","2020-7-704",0.897946722868165
"544","2020-7-603",0.795289389117461
"545","2020-7-610",0.857154206317798
"546","2020-7-608",0.795748411918081
"547","2020-7-602",0.683689915359575
"548","2020-7-611",0.844584292948446
